"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","668","Тест кейс 12: Поле ""Владелец"" на кирилице","","Sat Aug 31 13:21:57 MSK 2024","failed","Sat Aug 31 13:21:58 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","cyrillicOwnerNameTest"
"","10138","Тест кейс 3: Успешная покупка тура в кредит","","Sat Aug 31 13:22:13 MSK 2024","passed","Sat Aug 31 13:22:23 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","paymentSuccessWithCreditByCardTest"
"","1878","Тест кейс 10: Поле ""Владелец"" пустое","","Sat Aug 31 13:21:41 MSK 2024","passed","Sat Aug 31 13:21:43 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","ownerFieldIsEmptyTest"
"","459","Тест кейс 5: Валидация полей ввода данных карты","","Sat Aug 31 13:22:25 MSK 2024","passed","Sat Aug 31 13:22:25 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","fieldValidationShowErrorOnEmptyFieldsTest"
"","10580","Тест кейс 1: Успешная покупка тура с оплатой по карте","","Sat Aug 31 13:21:44 MSK 2024","passed","Sat Aug 31 13:21:55 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","paymentSuccessWithCardTest"
"","9191","Тест кейс 2: Отказ в оплате при покупке тура с оплатой по карте","","Sat Aug 31 13:21:59 MSK 2024","failed","Sat Aug 31 13:22:08 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","paymentDeclinedWithCardTest"
"","579","Тест кейс 9: Поле ""Месяц"" пустое","","Sat Aug 31 13:21:43 MSK 2024","passed","Sat Aug 31 13:21:43 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","monthFieldIsEmptyTest"
"","684","Тест кейс 15: Поле ""Номер карты"" менее 16 цифр","","Sat Aug 31 13:21:56 MSK 2024","passed","Sat Aug 31 13:21:56 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","cardNumberLengthBelow16Test"
"","4372","Тест кейс 4: Отказ в оплате при покупке тура в кредит","","Sat Aug 31 13:22:09 MSK 2024","failed","Sat Aug 31 13:22:13 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","paymentDeclinedWithCreditByCardTest"
"","780","Тест кейс 16: Срок действия карты истек в этом году","","Sat Aug 31 13:22:08 MSK 2024","passed","Sat Aug 31 13:22:09 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","cardIsExpiredInCurrentYearTest"
"","838","Тест кейс 11: Поле ""CVV"" пустое","","Sat Aug 31 13:21:56 MSK 2024","failed","Sat Aug 31 13:21:57 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","cvvFieldIsEmptyTest"
"","845","Тест кейс 14: Поле ""Месяц"" = 13","","Sat Aug 31 13:21:55 MSK 2024","passed","Sat Aug 31 13:21:56 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","month13ValueTest"
"","853","Тест кейс 13: Поле ""Месяц"" = 00","","Sat Aug 31 13:22:24 MSK 2024","failed","Sat Aug 31 13:22:25 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","month00ValueTest"
"","614","Тест кейс 7: Поле ""Номер карты"" пустое","","Sat Aug 31 13:22:23 MSK 2024","passed","Sat Aug 31 13:22:24 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","cardNumberFieldIsEmptyTest"
"","811","Тест кейс 6: Валидация срока действия карты","","Sat Aug 31 13:21:58 MSK 2024","passed","Sat Aug 31 13:21:59 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","cardExpirationCheckTest"
"","708","Тест кейс 8: Поле ""Год"" пустое","","Sat Aug 31 13:21:43 MSK 2024","passed","Sat Aug 31 13:21:44 MSK 2024","","ru.testing.web.TourBuyTest","ru.testing.web.TourBuyTest","yearFieldIsEmptyTest"
